start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined|translated_text
10:01:32:23|10:01:41:20|Shanti|నిధి! ఏంటే నువ్వు? అంత కూడా అర్థం కాలేదా? లైట్ వేస్తే మొహమైనా కనిపించేది కదా నీకు. ఏంటే! ఎవరో ఏంటో కూడా తెలుసుకోకుండా అలా కొట్టేస్తావా?|[శాంతి] Nidhi! Ente nuvvu? Antha kuda ardham kaleda? Light vesthe mohamaina kanipinchedi kada neeku. Ente! Evaro ento kuda thelusukokunda ala kottesthava?|Nidhi! What is this? Didn't you understand at all? If you had turned on the light, you would have seen his face. What is this! How could you beat him up without even knowing who it was?
10:01:42:15|10:01:43:03|Nidhi|అయ్యో! ఊరుకో!|[నిధి] Ayyo! Ooruko!|Oh my! Be quiet!
10:01:44:11|10:01:45:01|Nidhi|సారీ సర్!|[నిధి] Sorry sir!|Sorry sir!
10:01:46:17|10:01:48:21|Nidhi|ఆ సారీ సర్! ప్లీజ్!|[నిధి] Ah sorry sir! Please!|Ah sorry sir! Please!
10:01:49:12|10:01:56:06|Karna|ఈవిడ దగ్గర నుంచి తప్పించుకోవాలనుకునే కొద్దీ ఈవిడ చేతికే చిక్కేస్తాను. ఏమీ మాట్లాడకూడదు.|[కర్ణ] Eevida daggara nunchi tappinchukovalanukune koddi eevida chethike chikesthanu. Emi matladakoodadu.|The more I try to escape from her, the more I get caught by her. I shouldn't say anything.
10:01:57:07|10:02:00:19|Nidhi|సర్ ప్లీజ్, కోపం తెచ్చుకోకండి సర్. కావాలంటే మీ కాళ్ళు పట్టుకుంటాను.|[నిధి] Sir please, kopam thechukokandi sir. Kavalanate me kallu pattukuntanu.|Sir please, don't get angry, sir. If you want, I will touch your feet.
10:02:02:11|10:02:03:07|Nidhi|ప్లీజ్ సర్!|[నిధి] Please sir!|Please sir!
10:02:07:12|10:02:07:19|Palkova|నిధి!|[పాలకొవ] Nidhi!|Nidhi!
10:02:08:24|10:02:11:18|Palkova|పోనీలే వదిలెయ్యమ్మా, వాడికి బాగా దెబ్బలు తగిలినట్టు ఉన్నాయి.|[పాలకొవ] Ponile vadileyamma, vadiki baga debbalu thagilinattu unnai.|It's alright, leave it. It seems like he got hurt badly.
10:02:14:20|10:02:15:00|Nitya|నిధి!|[నిత్య] Nidhi!|Nidhi!
10:02:15:15|10:02:16:14|Tejas|పెయిన్ కిల్లర్ ఉందా?|[తేజస్] Pain killer unda?|Do you have a painkiller?
10:02:17:09|10:02:17:21|Nidhi|ఆ ఆ బావ ఉంది.|[నిధి] Ah ah bava undi.|Yes, yes brother-in-law, I have it.
10:02:30:16|10:02:33:14|Nidhi|అయ్యో! ఎంత పొరపాటు చేశావు నిధి! షిట్!|[నిధి] Ayyo! Entha porapatu chesavu Nidhi! Shit!|Oh my! What a big mistake you made, Nidhi! Shit!
10:02:34:03|10:02:34:16|Shanti|ఎక్కడ పెట్టావే?|[శాంతి] Ekkada pettave?|Where did you put it?
10:02:35:05|10:02:36:23|Nidhi|ఆ అక్కడే పెట్టాను, వస్తున్నాను.|[నిధి] Ah akkade petanu, vasthunnanu.|Ah, I kept it there, I'm coming.
10:04:00:23|10:05:01:14|Parandamayya|వాతావరణం చాలా వేడెక్కింది కదా. చల్లబడాలని అంతే, పడుకో! మాలతి, నీ మంచితనం ఏంటో నీకు తెలుసా? ఏం చేసినా తిరిగి మాట్లాడకుండా మౌనంగా ఉంటావ్. ఇదే... ఇదే మంచి గుణం. ఇదే నీ చెడ్డ గుణం కూడా. నాకేం కావాలో వద్దో నువ్వెప్పుడూ అర్థం చేసుకోలేదు. అర్థం చేసుకోవడం సాధ్యం కాదు. నువ్వు, మీ చెత్తలో దొరికినవాడు నా మనశ్శాంతిని పాడు చేయాలి అనే కదా బ్రతుకుతున్నారు? ఛీ! మిమ్మల్ని ఏ ఘడియలో చూశానో అప్పుడే నా మనశ్శాంతి సర్వనాశనం అయిపోయింది. మా నాన్నకి తెలివి లేదు. నీకేమో నిలకడ లేదు. నిన్నేమో నాకు భార్యగా కట్టబెట్టి వాన్నేమో నా కొడుకుని చేశాడు, థూ! చెప్పుకోవడానికే అసహ్యంగా ఉంది.|[పరాండమయ్య] Vathavaranam chaala vedekkindi kada. Challabadalani anthey, paduko! Malathi, nee manchithanam ento neeku thelusa? Em chesina thirigi matladakunda mounamga untav. Ide... ide manchi gunam. Ide nee chedda gunam kooda. Naakem kavalo vaddo nuvveppudu ardham chesukoledu. Ardham chesukovadam sadhyam kaadu. Nuvvu, mee chetthalo dorikinavadu na manassanthini paadu cheyali ane kada brathukuthunnaru? Chi! Mimmalni ye ghadiyalo chusano appude na manassanthi sarvanasanam aipoindi. Ma nanaki thelivi ledu. Neekemo nilakada ledu. Ninnemo naaku bharyaga kattabetti vannemo na kodukuni chesadu, thu! Cheppukovadanike asahyamga undi.|The weather has become very hot, hasn't it? I just wanted it to cool down, that's all, go to sleep! Malathi, do you know what your goodness is? Whatever I do, you remain silent without talking back. This... this is a good quality. This is also your bad quality. You never understood what I want and what I don't. It's not possible for you to understand. You, and that boy you found in the trash, you're living just to ruin my peace of mind, right? Tsk! The moment I saw you all, my peace of mind was completely destroyed. My father had no sense. You have no stability. He got you married to me and made him my son, yuck! It's disgusting to even say it.
10:05:11:09|10:05:22:04|Parandamayya|ఇన్ని మాటలన్నా కూడా ఇలా రాయిలాగా కూర్చున్నావు. పడుకో!|[పరాండమయ్య] Inni matalanna kooda ila rayilaga kurchunnavu. Paduko!|Even after saying so many things, you're sitting like a stone. Go to sleep!
10:05:43:12|10:05:44:12|Nidhi|ఆ!|[నిధి] Ah!|Ah!
10:06:21:11|10:06:23:09|Shanti|చేసిందంతా చేసి ఇప్పుడు నా వంక చూస్తే?|[శాంతి] Chesindantha chesi ippudu na vanka chusthe?|After doing all this, what's the point of looking at me now?
10:06:24:19|10:06:32:05|Nidhi|నేను కావాలని చేశానా శాంతి బేబీ? దొంగొచ్చి మన ఇంట్లో దొంగతనం చేస్తాడని భయపడి కర్ణ సర్ ని అలా కొట్టాను.|[నిధి] Nenu kavalanai chesana Shanti baby? Donga vochi mana intlo dongathanam chesthadani bayapadi Karna sir ni ala kottanu.|Did I do it intentionally, Shanti baby? I was scared that a thief came into our house to steal, so I hit Karna sir like that.
10:06:33:04|10:06:46:17|Shanti|ముప్పు వొద్దలా? ఎప్పుడు చూసినా ఆ మొబైల్లో రీల్సు గీల్సు చూడడం. ఏదో దేశంలో ఎవరింట్లోనో ఎవరో దొంగతనం చేశారని అనుకుంటూ మన ఇంట్లో అదే జరుగుతుందని వెధవ పని చేయడం. అసలు నీకు బుద్ధుందా?|[శాంతి] Muppu voddala? Eppudu chusina aa mobile lo reels geels choodadam. Edo deshamlo evarintono evaro dongathanam chesarani anukuntu mana intlo adhe jaruguthundani vedhava pani cheyadam. Asalu neeku buddunda?|Is that a problem? You're always on that mobile watching reels. Thinking that some theft happened in someone's house in some country, you do this foolish thing assuming the same will happen in our house. Do you have any sense?
10:06:46:17|10:06:48:07|Nidhi|శాంతి బేబీ! ఎందుకింత రైజ్ అవుతున్నావ్?|[నిధి] Shanti baby! Endukintha raise avuthunnav?|Shanti baby! Why are you raising your voice so much?
10:06:48:19|10:06:49:13|Shanti|ఏ మేకజాడా!|[శాంతి] Eh mekajada!|Hey you goat's beard!
10:06:51:06|10:06:53:14|Palkova|పాపం కదా! చిన్న పిల్ల, ఎందుకు తిడుతున్నావ్?|[పాలకొవ] Papam kada! Chinna pilla, enduku thiduthunnav?|She's innocent, isn't she? A young girl, why are you scolding her?
10:06:54:19|10:06:56:04|Shanti|ఆ, పిల్ల ఇది!|[శాంతి] Ah, pilla idhi!|Ah, a child, is she!
10:06:58:00|10:07:05:01|Shanti|పాపం! కర్ణ కాబట్టి తట్టుకున్నాడు. నేనో నువ్వో గనక అయ్యి ఉంటే, నువ్వే చెప్పు ఏమయ్యుండేది మన గతి?|[శాంతి] Papam! Karna kabatti thattukunadu. Neno nuvvo ganaka ayyi unte, nuvve cheppu emayyundedi mana gathi?|Poor thing! Because it was Karna, he endured it. If it were me or you, you tell me, what would have been our fate?
10:07:05:01|10:07:06:20|Nidhi|శాంతి, నేను సారీ చెప్పాను కదా!|[నిధి] Shanti, nenu sorry cheppanu kada!|Shanti, I said sorry, didn't I?
10:07:07:12|10:07:12:22|Nidhi|అయినా కర్ణ సర్ కి నా మీద కోపం పోలేదు. నేను ఎంత మాట్లాడించినా ఆయన మాట్లాడట్లేదు.|[నిధి] Ayina Karna sir ki na meeda kopam poledhu. Nenu entha matladinchina aayana matladatledhu.|Still, Karna sir's anger towards me hasn't subsided. No matter how much I try to talk to him, he's not speaking.
10:07:13:07|10:07:14:24|Palkova|ఎందుకో వీడన్నీ అతి చేస్తాడు.|[పాలకొవ] Enduko veedanni athi chesthadu.|For some reason, he overreacts to everything.
10:07:16:12|10:07:19:00|Palkova|తెలియక చేసింది, దానికి మాట్లాడకూడదా?|[పాలకొవ] Theliyaka chesindhi, daaniki matladakudada?|She did it unknowingly, so shouldn't he talk to her?
10:07:20:23|10:07:22:01|Palkova|రా నీ నేను మాట్లాడిస్తాను.|[పాలకొవ] Ra ni nenu matladisthanu.|Come, I'll make him talk.
10:07:22:15|10:07:24:06|Shanti|పాలకొవ, నువ్వు ముందు కూర్చో!|[శాంతి] Palkova, nuvvu mundu kurcho!|Palkova, you sit down first!
10:07:26:01|10:07:29:10|Shanti|మా ఇంటికొచ్చిన కర్ణకి ఇలా అయినందుకు నేనే వెళ్ళి మాట్లాడతాను.|[శాంతి] Ma intikochina Karna ki ila ayinanduku nene velli matladathanu.|Since this happened to Karna who came to our house, I will go and talk to him myself.
10:07:30:11|10:07:32:16|Palkova|వాణ్ణి ఎలా శాంతింపచేయాలో నాకు తెలుసమ్మా!|[పాలకొవ] Vanni ela santhimpacheyalo naaku thelusamma!|I know how to pacify him, dear!
10:07:33:15|10:07:35:22|Shanti|నువ్వుండు, నాకూ తెలుసు, నేనే కర్ణతో మాట్లాడతాను.|[శాంతి] Nuvvundu, naaku thelusu, nene Karna tho matladathanu.|You wait, I know too, I'll talk to Karna.
10:07:37:16|10:07:40:19|Shanti|అంతవరకు ఈ పిల్లకి నువ్వే బుద్ధి చెప్పు.|[శాంతి] Anthavaraku ee pilla ki nuvve buddi cheppu.|Until then, you teach this girl some sense.
10:07:41:21|10:07:42:07|Nidhi|శాంతి!|[నిధి] Shanti!|Shanti!
10:07:43:08|10:07:43:18|Shanti|ఉహ్మ్!|[శాంతి] Hmm!|Hmm!
10:07:45:04|10:07:46:17|Shanti|ఏయ్, నువ్వేంటడ్డం? కూర్చో!|[శాంతి] Ey, nuvventaddam? Kurcho!|Hey, why are you in the way? Sit down!
10:07:57:07|10:07:58:00|Shanti|తీసుకో బాబు!|[శాంతి] Theesuko babu!|Take this, boy!
10:07:59:09|10:08:00:03|Karna|ఇప్పుడెందుకండీ ఇది?|[కర్ణ] Ippudendukandi idhi?|Why this now?
10:08:00:19|10:08:05:15|Shanti|ఐస్క్రీం ఇస్తే నీ మనసు కరుగుతుందని మా పాలకొవ చెప్పింది.|[శాంతి] Ice cream isthe nee manasu karuguthundani ma Palkova cheppindi.|Our Palkova said that if I give you ice cream, your heart will melt.
10:08:07:04|10:08:13:09|Shanti|అంతేకాక, నేనింకొకటి అడుగుతాను, అది కూడా చేయాలి, అందుకే ఈ ఐస్క్రీం.|[శాంతి] Anthekaka, neninkokati aduguthanu, adhi kooda cheyali, anduke ee ice cream.|Besides, I'll ask for one more thing, you have to do that too, that's why this ice cream.
10:08:14:14|10:08:17:02|Karna|ఐస్క్రీం ఇచ్చి పని చేయించుకోవడానికి నేనేమైనా చిన్నపిల్లాణ్ణా?|[కర్ణ] Ice cream ichi pani cheyinchukovadaniki nenemaina chinnapillanna?|Am I a small child for you to bribe me with ice cream to get work done?
10:08:17:21|10:08:19:15|Karna|ఇంత స్వీట్ గా అడిగితే ఎవరు కాదనంటారు?|[కర్ణ] Intha sweet ga adigithe evaru kadanantaru?|Who would say no if you ask so sweetly?
10:08:20:19|10:08:21:11|Karna|ఇవ్వండి!|[కర్ణ] Ivvandi!|Give it to me!
10:08:24:12|10:08:25:05|Karna|ఏంటో చెప్పండి.|[కర్ణ] Ento cheppandi.|Tell me what it is.
10:08:25:12|10:08:26:22|Shanti|నిధితో మాట్లాడతావా?|[శాంతి] Nidhi tho matladathava?|Will you talk to Nidhi?
10:09:43:06|10:09:48:19|Karna|మీ బర్త్ డే అంటే వచ్చాను. కానీ ఖాళీ చేతులతో వచ్చాను. ఏ గిఫ్ట్ తేలేదు.|[కర్ణ] Me birthday ante vachanu. Kani khaali chethulatho vachanu. E gift theledu.|I came because it's your birthday. But I came empty-handed. I didn't bring any gift.
10:09:50:00|10:09:57:24|Shanti|ఈ గిఫ్ట్, లిఫ్ట్ అన్నీ మీ వయసు వాళ్ళకి. మాకైతే టెస్ట్లు, టాబ్లెట్లు, డాక్టర్ షాపు, దేవుడి షాప్ అంతే.|[శాంతి] Ee gift, lift anni mee vayasu vallaki. Maakaithe test lu, tablet lu, doctor shopu, devudi shop anthe.|These gifts and lifts are for people of your age. For us, it's just tests, tablets, the doctor's shop, and God's shop, that's it.
10:09:58:12|10:09:59:07|Karna|దేవుడి షాపా?|[కర్ణ] Devudi shopa?|God's shop?
10:09:59:18|10:10:01:01|Shanti|దేవస్థానం!|[శాంతి] Devasthanam!|The temple!
10:10:01:14|10:10:04:14|Karna|ఓహ్! బాగా చెప్పారు.|[కర్ణ] Oh! Well said.
10:10:05:00|10:10:08:10|Shanti|డాక్టర్ ని అడుగుతాం కదా, అందుకే డాక్టర్ షాప్ అన్నాను.|[శాంతి] Doctor ni adugutham kada, anduke doctor shop annanu.|We consult a doctor, right? That's why I said doctor's shop.
10:10:08:23|10:10:12:02|Shanti|ఇది కూడా అంతే! మీతో మాటల్లో గెలవలేనులేండి.|[శాంతి] Idhi kooda anthe! Meetho matallo gelavalenulendi.|This is also the same! I can't win against you in words.
10:10:13:06|10:10:16:03|Karna|అదంతా సరే, మీకేం గిఫ్ట్ కావాలో చెప్పండి.|[కర్ణ] Adantha sare, meekem gift kavalo cheppandi.|All that is fine, tell me what gift you want.
10:10:16:17|10:10:17:10|Shanti|ఏయ్!|[శాంతి] Ey!|Hey!
10:10:17:23|10:10:22:11|Karna|మీ పాలకొవకి అంతే, కావలసినన్ని గిఫ్ట్లు ఇస్తాను. మీకూ అంతే, చెప్పండి ఏం కావాలి?|[కర్ణ] Me palkovaki anthe, kavalasinanni giftlu isthanu. Meekoo anthe, cheppandi em kavali?|It's the same for your Palkova, I'll give as many gifts as she wants. It's the same for you too, tell me what you want.
10:10:24:23|10:10:29:08|Shanti|నాకు చాలా ఉపకారం చేశావు కదా, దానికన్నా పెద్ద గిఫ్ట్ ఇంకేముంటుంది బాబు?|[శాంతి] Naaku chaala upakaram chesavu kada, daanikanna pedda gift inkemuntundi babu?|You've done me a huge favor, what bigger gift could there be than that?
10:10:33:15|10:10:39:03|Karna|ఓ పనిచేయండి, కళ్ళు మూసుకొని ఆలోచించి మీకు ఈ క్షణంలో ఏది ఎక్కువగా కావాలనిపిస్తే అది అడగండి.|[కర్ణ] O pani cheyandi, kallu moosukuni aalochinchi meeku ee kshanamlo edi ekkuvaga kavalanipisthe adi adagandi.|Do one thing, close your eyes, think, and ask for whatever you want the most at this moment.
10:10:48:11|10:11:02:15|Shanti|ఇంకేముంటుంది బాబు నాకు? మా నిత్య పెళ్ళి ఎలాంటి అడ్డంకులు లేకుండా సాఫీగా జరగాలి. అది తన భర్తతో సంతోషంగా ఉండాలి. అత్తవారి ఇంట్లో ఎంతో సుఖంగా ఉండాలి. ఇదే బాబు, నాకు కావాల్సింది.|[శాంతి] Inkhemuntundi babu naaku? Ma Nitya pelli elanti addankulu lekunda safiga jaragali. Adhi thana bharthatho santhoshanga undali. Atthavari intlo entho sukanga undali. Ide babu, naaku kaavalsindi.|What else is there for me, son? My Nitya's wedding should happen smoothly without any obstacles. She should be happy with her husband. She should be very happy in her in-laws' house. This is it, son, what I want.
11:07:05|11:07:23|Karna|ఇంతేనా?|[కర్ణ] Inthena?|Is that all?
11:08:14|11:10:02|Shanti|ఊహ్మ్! అంతే!|[శాంతి] Hmm! Anthe!|Hmm! That's all!
11:12:19|11:17:15|Karna|ఇదే మీ కోరికంటే దాన్ని నెరవేర్చే బాధ్యత నాది.|[కర్ణ] Idhe me korikante daani neraverche badhyatha naadhi.|If this is your wish, then the responsibility to fulfill it is mine.
11:23:17|11:25:21|Karna|నిత్య పెళ్లి ఘనంగా జరుగుతుంది.|[కర్ణ] Nitya pelli ghananga jaruguthundi.|Nitya's wedding will happen grandly.
11:28:07|11:31:16|Karna|ఏదేమైనా సరే మీరు అనుకున్నట్టే అవుతుంది, సరేనా?|[కర్ణ] Edemainaa sare meeru anukunnate avuthundi, sarena?|Whatever happens, it will happen as you wish, okay?
11:32:04|11:32:16|Shanti|అవునా?|[శాంతి] Avuna?|Really?
11:33:15|11:34:10|Shanti|నా బంగారు కొంటే!|[శాంతి] Na bangaru konte!|My golden lad!
11:35:05|11:41:09|Shanti|నా జీవితానికి వెలుగు నువ్వు. దానికి ఏం తీసిపోలేదు బాబు.|[శాంతి] Na jeevithaniki velugu nuvvu. Daaniki em theesipoledu babu.|You are the light of my life. She is no less than that, son.
11:51:14|11:52:05|Nitya|కర్ణ, ఒక్క నిమిషం.|[నిత్య] Karna, okka nimisham.|Karna, one minute.
11:56:06|11:57:04|Karna|ఏమైంది?|[కర్ణ] Emaindi?|What happened?
11:58:05|12:01:05|Nitya|మీరు శాంతితో మాట్లాడింది నేను విన్నాను.|[నిత్య] Meeru Shanti tho matladindhi nenu vinnanu.|I heard what you said to Shanti.
12:03:01|12:06:21|Karna|సారీ అది... ఆవిడ అడిగారు.|[కర్ణ] Sorry adhi... aavida adigaru.|Sorry, that... she asked.
12:06:21|12:07:06|Nitya|థాంక్యూ!|[నిత్య] Thank you!|Thank you!
12:07:11|12:08:01|Karna|ఆహ్?|[కర్ణ] Ah?|Huh?
12:09:11|12:10:11|Nitya|థాంక్యూ అన్నాను.|[నిత్య] Thank you annanu.|I said thank you.
12:10:18|12:12:02|Karna|ఆహ్... నాకా?|[కర్ణ] Ah... naaka?|Ah... to me?
12:12:19|12:13:24|Nitya|మరి ఎవరున్నారు ఇక్కడ?|[నిత్య] Mari evarunnaru ikkada?|Then who else is here?
12:15:23|12:18:24|Nitya|నేను అరవడం మాత్రం మీకు గుర్తుంటుందా? నాకు థాంక్యూ చెప్పడం వచ్చు.|[నిత్య] Nenu aravadam mathram meeku gurthuntunda? Naku thank you cheppadam vachu.|Do you only remember my shouting? I know how to say thank you.
12:19:15|12:23:01|Karna|కాదు, అది చెవులకి కొత్తగా అనిపిస్తే అడిగాను.|[కర్ణ] Kadu, adhi chevulaki kotthaga anipisthe adiganu.|No, that... it sounded new to my ears, so I asked.
12:25:09|12:26:11|Nitya|కర్ణ...|[నిత్య] Karna...|Karna...
12:26:24|12:27:11|Karna|సారీ.|[కర్ణ] Sorry.|Sorry.
12:28:22|12:31:01|Nitya|దేవుడిలా వచ్చి నన్ను కాపాడావు.|[నిత్య] Devudilaa vachi nannu kapadavu.|You came like a god and saved me.
12:32:00|12:34:11|Nitya|ఇప్పుడు శాంతి మీద ఉన్న బరువును తగ్గిస్తున్నావు.|[నిత్య] Ippudu Shanti meeda unna baruvunu thaggisthunnavu.|Now you are reducing the burden on Shanti.
12:36:09|12:37:16|Karna|అంత పెద్ద మాటలెందుకండి.|[కర్ణ] Antha pedda matalendukandi.|Why such big words.
12:38:20|12:46:11|Nitya|శాంతికి నా పెళ్ళి చాలా పెద్ద విషయం కర్ణ. చాలా సంవత్సరాలనుండి కాపాడుకుంటూ వస్తున్న కల.|[నిత్య] Shantiki na pelli chala pedda vishayam Karna. Chala samvatsaralanundi kapadukuntu vasthunna kala.|My wedding is a very big deal for Shanti, Karna. It's a dream she has been nurturing for many years.
12:49:07|12:54:19|Nitya|నీ మాట తనకి ఎంత ధైర్యం ఇచ్చిందో నాకు తెలుసు. చాలా థ్యాంక్స్!|[నిత్య] Nee maata thanaki entha dhairyam ichindo naku thelusu. Chala thanks!|I know how much courage your words gave her. Thank you so much
