start_timestamp|end_timestamp|speaker_roman|dialogue_source|combined
00:00:38:28|00:00:39:24|నిధి|చెప్తావా లేదా?|[నిధి] Chepthava leda?
00:00:40:44|00:00:41:64|నిత్య|నిధి, ఒక నిమిషం వదులు.|[నిత్య] Nidhi, oka nimisham vadulu.
00:00:42:44|00:00:42:92|నిధి|ఊరుకోక నువ్వు.|[నిధి] Oorukoka nuvvu.
00:00:44:48|00:00:45:96|నిధి|దొంగని వదిలిపెట్టమంటావా?|[నిధి] Dongani vadilipettamantava?
00:00:46:12|00:00:46:72|నిత్య|ఊరుకోక నువ్వు.|[నిత్య] Oorukoka nuvvu.
00:00:47:48|00:00:48:40|నిత్య|నిధి, చెప్పురా.|[నిత్య] Nidhi, cheppura.
00:00:48:40|00:00:50:24|నిధి|అది కాదు ఇంక దొంగ వీడు.|[నిధి] Adi kadu inka donga veedu.
00:00:54:32|00:00:54:68|నిధి|ఓహ్.|[నిధి] Oh.
00:00:55:08|00:00:55:76|పెంకి పెళ్ళాం & శాంతి|ఆహ్ ఆహ్.|[పెంకి పెళ్ళాం & శాంతి] Ahh ahh.
00:00:59:44|00:01:00:32|నిధి|అయ్యో.|[నిధి] Ayyo.
01:01:02:44|01:01:02:44|నిధి|ఆహ్.|[నిధి] Ah.
01:01:02:80|01:01:03:00|Unknown|అమ్మా.|Amma.
01:01:06:52|01:01:07:04|పెంకి పెళ్ళాం|డార్లింగ్.|[పెంకి పెళ్ళాం] Darling.
01:01:07:60|01:01:10:04|శాంతి|కర్ణా, నువ్వా?|[శాంతి] Karna, nuvva?
01:01:10:80|01:01:13:28|నిధి|ఆ సర్ మీరా?|[నిధి] Aa sir meera?
01:01:14:88|01:01:16:92|కర్ణ|ఏం కనాయ్ ఇప్పడికైనా అర్థం అయింది.|[కర్ణ] Em Kanai ippadikaina ardham ayindhi.
01:01:17:72|01:01:18:76|కర్ణ|మాట్లాడ నివ్వలేదు ఎవరు.|[కర్ణ] Maatladanivvaledu evaru.
01:01:20:80|01:01:29:48|నిధి|స్ స్ స్ సారీ సర్, దొంగ అనుకుని ఇలా చేశాను సర్. న్యూస్ లో దొంగలు వస్తున్నారని చూశాను, వాళ్ళే వచ్చారనుకుని ఇలా చేశాను సర్, సారీ సర్ దయచేసి క్షమించండి సర్.|[నిధి] S s s sorry sir, donga anukuni ila chesanu sir. News lo dongalu vasthunnarani chusanu, valle vacharanukuni ila chesanu sir, sorry sir dayachesi kshaminchandi sir.
01:01:33:04|01:01:34:28|శాంతి|నిధి, ఏంటే నువ్వు?|[శాంతి] Nidhi, yente nuvvu?
01:01:34:28|01:01:38:28|శాంతి|అంత కూడా అర్థం కాలేదా? లైట్ వేస్తే మొహం అయినా కనిపించేది కదా నీకు.|[శాంతి] Antha kuda ardham kaaleda? Light vesthe moham ayina kanipinchedi kada neeku.
01:01:38:64|01:01:41:80|శాంతి|ఏంటే, ఎవరో ఏంటో కూడా తెలుసుకోకుండా అలా కొట్టేస్తావా?|[శాంతి] Yente, evaro ento kuda thelusukokunda ala kottesthava?
01:01:42:32|01:01:43:08|నిధి|అయ్యో ఊరుకో.|[నిధి] Ayyo ooruko.
01:01:44:04|01:01:45:32|నిధి|సారీ సర్.|[నిధి] Sorry sir.
01:01:46:60|01:01:48:80|నిధి|సారీ సర్ ప్లీజ్.|[నిధి] Sorry sir please.
01:01:49:80|01:01:54:12|కర్ణ|ఈవిడ దగ్గర నుండి తప్పించుకోవాలనుకునే కొద్దీ ఈవిడ చేతికే చిక్కేస్తాను.|[కర్ణ] Eevida daggara nundi thappinchukovalankune koddi eevida chethike chikesthanu.
01:01:54:88|01:01:56:48|కర్ణ|ఏమీ మాట్లాడకూడదు.|[కర్ణ] Emi maatladakudadhu.
01:01:56:88|01:02:00:60|నిధి|సర్ ప్లీజ్ కోపం తెచ్చుకోకండి సర్, కావాలంటే మీ కాళ్ళు పట్టుకుంటాను.|[నిధి] Sir please kopam thechukokandi sir, kaavalante mee kallu pattukuntanu.
01:02:02:64|01:02:03:60|నిధి|ప్లీజ్ సర్.|[నిధి] Please sir.
01:02:07:44|01:02:07:96|పెంకి పెళ్ళాం|నిధి.|[పెంకి పెళ్ళాం] Nidhi.
01:02:09:12|01:02:11:84|పెంకి పెళ్ళాం|పోన్లే వదిలేయమ్మా, వాడికి బాగా దెబ్బలు తగిలినట్టున్నాయి.|[పెంకి పెళ్ళాం] Ponle vadileyamma, vadiki baga debbalu thagilinattunnayi.
01:02:14:04|01:02:14:48|తేజస్|నిధి,|[తేజస్] Nidhi,
01:02:15:84|01:02:16:84|తేజస్|పెయిన్ కిల్లర్ ఉందా?|[తేజస్] Pain killer unda?
01:02:16:84|01:02:18:24|నిధి|మా ఆ, బావా ఉంది.|[నిధి] Maa aa, bava undi.
01:02:30:52|01:02:33:88|నిధి|అయ్యో ఎంత పొరపాటు చేశాను నిధి? షిట్!|[నిధి] Ayyo entha porapatu chesanu Nidhi? Shit!
01:02:34:04|01:02:34:68|Unknown|ఎక్కడ పెట్టావే?|Ekkada pettave?
01:02:35:12|01:02:36:84|నిధి|ఆ అక్కడే పెట్టాను, వస్తున్నాను.|[నిధి] Aa akkade pettenu, vasthunnanu.
01:03:45:96|01:03:46:80|దుర్గయ్య|ఆహ్.|[దుర్గయ్య] Ahh.
01:03:47:84|01:03:48:52|దుర్గయ్య|ఆహ్.|[దుర్గయ్య] Ahh.
01:04:00:84|01:04:06:40|దుర్గయ్య|వాతావరణం చాలా వేడెక్కింది కదా, చల్లబడాలని అంతే, పడుకో, పడుకో.|[దుర్గయ్య] Vaatavaranam chaala vedekkindi kada, challabadalani anthe, paduko, paduko.
01:04:12:44|01:04:13:36|దుర్గయ్య|మాలతీ,|[దుర్గయ్య] Malathi,
01:04:14:48|01:04:16:04|దుర్గయ్య|నీ మంచితనం ఏంటో నీకు తెలుసా?|[దుర్గయ్య] Nee manchithanam ento neeku thelusa?
01:04:16:52|01:04:20:12|దుర్గయ్య|ఏం చేసినా తిరిగి మాట్లాడకుండా మౌనంగా ఉంటావు.|[దుర్గయ్య] Em chesina thirigi matladakunda maunanga untavu.
01:04:20:64|01:04:24:20|దుర్గయ్య|ఇదే ఇదే మంచితనం, ఇదే నీ చెడ్డ గుణం కూడా.|[దుర్గయ్య] Ide ide manchithanam, ide nee chedda gunam kuda.
01:04:26:00|01:04:31:68|దుర్గయ్య|నాకేం కావాలో వద్దో నువ్వెప్పుడూ అర్థం చేసుకోలేవు, అర్థం చేసుకోవడం కూడా సాధ్యం కాదు.|[దుర్గయ్య] Naakem kaavalo vaddo nuvveppudu ardham chesukolevu, ardham chesukovadam kuda saadhyam kaadu.
01:04:33:04|01:04:40:20|దుర్గయ్య|నువ్వు, మీ చెత్తలో దొరికినవాడు నా మనశ్శాంతిని పాడు చేయాలి అనే కదా బ్రతుకుతున్నారు.|[దుర్గయ్య] Nuvvu, mee chethalo dorikinavadu naa manassanthini paadu cheyali ane kada brathukuthunnaru.
01:04:42:04|01:04:47:72|దుర్గయ్య|ఛీ! మిమ్మల్ని ఏ ఘడియలో చూశానో అప్పుడే నా మనశ్శాంతి సర్వనాశనం అయిపోయింది.|[దుర్గయ్య] Chi! Mimmalni ye ghadiyalo chusano appude naa manassanthi sarvanasanam ayipoyindi.
01:04:49:52|01:04:50:88|దుర్గయ్య|మా నాన్నకి తెలివి లేదు.|[దుర్గయ్య] Maa nannaki thelivi ledhu.
01:04:51:32|01:04:53:24|దుర్గయ్య|నీకేమో నిలకడ లేదు.|[దుర్గయ్య] Neekemo nilakada ledu.
01:04:54:68|01:04:59:04|దుర్గయ్య|నిన్నేమో నాకు భార్యగా కట్టబెట్టి వాన్నేమో నా కొడుకుని చేశాడు.|[దుర్గయ్య] Ninnemo naaku bharyaga kattabetti, vannemo naa kodukini chesadu.
01:04:59:04|01:05:01:48|దుర్గయ్య|థూ! చెప్పుకోవడానికే అసహ్యంగా ఉంది.|[దుర్గయ్య] Thoo! Cheppukodanike asahyamga undi.
01:05:03:40|01:05:06:60|దుర్గయ్య|మా నాన్న బతికుంటే అందరి ముందు నిలబెట్టి ప్రశ్నించేవాడిని.|[దుర్గయ్య] Maa nanna bathikunte andari mundu nilabetti prasnichevaadini.
01:05:07:60|01:05:10:04|దుర్గయ్య|ఆయన చచ్చి, నన్ను ఈ నరకంలో తొక్కేశాడు.|[దుర్గయ్య] Aayana chachi, nannu ee narakamlo thokkesadu.
01:05:11:40|01:05:15:20|దుర్గయ్య|ఇన్ని మాటలన్నా కూడా ఇలా రాయిలాగా కూర్చున్నావు.|[దుర్గయ్య] Inni matalanna kuda ila raayilaga kurchunnavu.
01:05:16:36|01:05:17:16|దుర్గయ్య|పడుకో.|[దుర్గయ్య] Paduko.
01:05:43:24|01:05:44:84|నిధి|శాంతి బేబీ,|[నిధి] Shanti baby,
01:05:47:04|01:05:48:44|నిధి|ఆ ఆ.|[నిధి] Aa aa.
01:05:49:28|01:05:50:40|నిధి|ఉమ్.|[నిధి] Umm.
01:06:00:44|01:06:01:00|నిధి|ఓహ్.|[నిధి] Ohh.
01:06:09:44|01:06:10:32|నిధి|సారీ సర్.|[నిధి] Sorry sir.
01:06:21:44|01:06:23:72|శాంతి|చేసిందంతా చేసి ఇప్పుడు నా వంక చూస్తే.|[శాంతి] Chesindantha chesi ippudu naa vanka chusthe.
01:06:24:44|01:06:26:00|నిధి|నేను కావాలని చేశానా శాంతి?|[నిధి] Nenu kaavalani chesana shanthi?
01:06:27:08|01:06:32:04|నిధి|దొంగ వచ్చి మన ఇంట్లో దొంగతనం చేస్తాడని భయపడి కర్ణ సర్ ని అలా కొట్టాను.|[నిధి] Donga vachi mana intlo dongathanam chesthadani bhayapadi Karna sir ni ala kottanu.
01:06:32:52|01:06:37:32|శాంతి|ఉమ్, ముప్పొద్దులా ఎప్పుడు చూసినా ఆ మొబైల్ లో రీల్స్, గీల్స్ చూడడం.|[శాంతి] Umm, muppoddula eppudu chusina aa mobile lo reels, geels chudatam.
01:06:37:32|01:06:44:60|శాంతి|ఏదో దేశంలో ఎవరింట్లోనో ఎవరో దొంగతనం చేశారని అనుకుంటూ మన ఇంట్లో అదే జరుగుతుందని వెధవ పని చేయడు? అసలు నీకు బుద్ధుందా?|[శాంతి] Edo desamlo evarintolono evaro dongathanam chesarani anukuntu mana intlo adhe jaruguthundani vedhava pani cheyadu? Asalu neeku buddhunda?
01:06:45:32|01:06:48:16|నిధి|శాంతి బేబీ, ఎందుకింత రైస్ అవుతున్నావ్?|[నిధి] Shanti baby, endukintha raise avuthunnav?
01:06:48:64|01:06:49:80|శాంతి|ఏయ్ మేకజాడ.|[శాంతి] Ey mekajada.
01:06:51:28|01:06:53:52|పెంకి పెళ్ళాం|పాపం కదా, చిన్నపిల్ల, ఎందుకు తిడుతున్నావ్?|[పెంకి పెళ్ళాం] Papam kada, chinnapilla, enduku thiduthunnav?
01:06:54:68|01:06:56:88|శాంతి|ఆ, పిల్ల ఇది?|[శాంతి] Aa, pilla idhi?
01:06:58:08|01:07:04:88|శాంతి|పాపం, కర్ణ కాబట్టి తట్టుకున్నాడు, నేనో నువ్వో గనక అయ్యి ఉంటే, నువ్వే చెప్పు ఏమయ్యుండేది మన గతి?|[శాంతి] Papam, Karna kabatti thattukunnadu, neno nuvvo ganaka ayyi unte, nuvve cheppu emayundedi mana gathi?
01:07:04:88|01:07:06:44|నిధి|శాంతి, నేను సారీ చెప్పాను కదా.|[నిధి] Shanti, nenu sorry cheppanu kada.
01:07:07:04|01:07:12:96|నిధి|అయినా కర్ణ సర్ కి నా మీద కోపం పోలేదు, నేను ఎంత మాట్లాడించినా ఆయన మాట్లాడట్లేదు.|[నిధి] Ayina Karna sir ki naa meedha kopam poledu, nenu entha matladinchina aayana matladatledu.
01:07:13:64|01:07:14:84|పెంకి పెళ్ళాం|ఎందుకో వీడన్నీ అతి చేస్తాడు.|[పెంకి పెళ్ళాం] Enduko veedanni athi chestadu.
01:07:16:32|01:07:18:96|పెంకి పెళ్ళాం|తెలియక చేసింది, దానికి మాట్లాడకూడదా?|[పెంకి పెళ్ళాం] Theliyaka chesindi, daaniki matladakoodada?
01:07:20:76|01:07:22:24|పెంకి పెళ్ళాం|రానే, నేను మాట్లాడిస్తాను.|[పెంకి పెళ్ళాం] Raane, nenu matladisthanu.
01:07:22:64|01:07:24:64|శాంతి|పాలు కోవా, నువ్వు ముందు కూర్చో.|[శాంతి] Paalakova, nuvvu mundu kurcho.
01:07:26:08|01:07:29:28|శాంతి|మా ఇంటికి వచ్చిన కర్ణకి ఇలా అయినందుకు నేనే వెళ్లి మాట్లాడతాను.|[శాంతి] Maa intiki vachina Karnaki ila ayinanduku nene velli matladathanu.
01:07:30:40|01:07:32:88|పెంకి పెళ్ళాం|వాడిని ఎలా శాంతింప చేయాలో నాకు తెలుసమ్మా,|[పెంకి పెళ్ళాం] Vadini ela santhimpa cheyalo naaku thelusammai,
01:07:33:16|01:07:35:88|శాంతి|నువ్వుండు, నాక్కూడా తెలుసు, నేనే కర్ణతో మాట్లాడతాను.|[శాంతి] Nuvvundu, naakuda thelusu, nene Karnatho matladathanu.
01:07:37:40|01:07:40:48|శాంతి|అంత వరకు ఈ పిల్లికి నువ్వే బుద్ధి చెప్పు.|[శాంతి] Antha varaku ee pilliki nuvve buddhi cheppu.
01:07:41:64|01:07:42:24|నిధి|శాంతి.|[నిధి] Shanti.
01:07:43:08|01:07:43:60|శాంతి|ఉమ్.|[శాంతి] Umm.
01:07:45:08|01:07:47:04|శాంతి|ఏయ్ నువ్వేంటి అడ్డం? కూర్చో.|[శాంతి] Ey nuvventi addam? Kurcho.
01:07:57:08|01:07:57:96|శాంతి|తీసుకో బాబు.|[శాంతి] Theesuko babu.
01:07:59:44|01:08:00:20|కర్ణ|ఇప్పుడెందుకండీ ఇది?|[కర్ణ] Ippudendukandi idhi?
01:08:00:44|01:08:05:44|శాంతి|ఐస్ క్రీమ్ ఇస్తే నీ మనసు కరుగుతుందని మా పాలకోవా చెప్పింది.|[శాంతి] Ice cream isthe nee manasu karuguthundani maa paalakova cheppindhi.
01:08:07:28|01:08:13:64|శాంతి|అంతేకాక నేను ఇంకొకటి అడుగుతాను, అది కూడా చేయాలి, అందుకే ఈ ఐస్ క్రీమ్.|[శాంతి] Anthekaka nenu inkokati aduguthanu, adi kuda cheyali, anduke ee ice cream.
01:08:13:72|01:08:16:76|కర్ణ|ఐస్ క్రీమ్ ఇచ్చి పని చేయించుకోవడానికి నేనేమైనా చిన్నపిల్లాడ్డా?|[కర్ణ] Ice cream ichi pani cheyinchukodaniki nenemaina chinnapilladna?
01:08:17:48|01:08:20:96|కర్ణ|ఇంత స్వీట్ గా అడిగితే ఎవరు కాదని అంటారు, ఇవ్వండి.|[కర్ణ] Intha sweet ga adigithe evaru kadani antaru, ivvandi.
01:08:24:36|01:08:25:20|కర్ణ|ఏంటో చెప్పండి?|[కర్ణ] Ento cheppandi?
01:08:25:48|01:08:27:00|శాంతి|నిధితో మాట్లాడతావా?|[శాంతి] Nidhitho matladathava?
01:08:34:64|01:08:46:84|శాంతి|దాని మీద నీకు కోపం వచ్చిందని నాకు తెలుసు బాబు, కానీ అది కావాలని అలా చేయలేదు బాబు, ఏదో పిల్లతనం, ముందు వెనక ఆలోచించకుండా అలా చేసింది కర్ణ.|[శాంతి] Daani meeda neeku kopam vachindani naaku thelusu babu, kaani adi kaavalani ala cheyaledu babu, edo pillathanam, mundu venaka aalochinchakunda ala chesindi Karna.
01:08:48:84|01:09:09:32|శాంతి|అందుకోసం నువ్వు తన మీద కోపగించుకుని మాట్లాడటం మానేశావ్ అంటే, అది తిండినీళ్లు అన్నీ మానేసి కూర్చుంటుంది అంతే. దీన్ని దేనితో లింక్ చేస్తున్నారసలు? వద్దు వద్దు ఊహనల, ఏం చెప్పాలిప్పుడు? నాకే తెలుసు, ఐస్ క్రీమ్ తినకముందే నీ మనసు కరుగుతుందని.|[శాంతి] Andukosam nuvvu thana meeda kopaginchukuni matladatam maanesav ante, adhi thindi neellu anni maanesi kurchuntundi anthe. Deeni denitho link chesthunnarasalu? Voddu voddu uhanala, em cheppalippudu? Naake thelusu, ice cream thinakmundhe nee manasu karuguthundani.
01:09:11:04|01:09:14:64|శాంతి|అది ఇంకోసారి ఇలాంటి పని చేయకుండా నేను చూసుకుంటాను బాబు.|[శాంతి] Adhi inkosari ilanti pani cheyakunda nenu chusukuntanu babu.
01:09:18:24|01:09:19:32|శాంతి|మాట్లాడతావు కదా బాబు?|[శాంతి] Matladathavu kada babu?
01:09:20:48|01:09:22:96|Unknown|నువ్వు దానికి దూరంగా ఉంటే అది దానికే మంచిది.|Nuvvu daaniki duranga unte adi daanike manchidi.
01:09:24:88|01:09:28:16|శాంతి|అబ్బా, ఇప్పుడు నా మనసు శాంతపడింది.|[శాంతి] Abba, ippudu naa manasu shanthapadindhi.
01:09:33:64|01:09:34:20|కర్ణ|అమ్మా.|[కర్ణ] Amma.
01:09:42:52|01:09:48:96|కర్ణ|మీ బర్త్ డే అంటే వచ్చాను, కానీ ఖాళీ చేతులతో వచ్చాను, ఏ గిఫ్ట్ తేలేదు.|[కర్ణ] Mee birthday ante vachanu, kaani khaali chethulatho vachanu, ye gift theledu.
01:09:49:80|01:09:58:24|శాంతి|ఈ గిఫ్ట్, లిఫ్ట్ అన్నీ మీ వయసు వాళ్ళకి, మాకైతే టెస్ట్లు, టాబ్లెట్లు, డాక్టర్ షాప్, దేవుడి షాప్ అంతే.|[శాంతి] Ee gift, lift anni mee vayasu vallaki, maakaithe tests, tablets, doctor shop, devudi shop anthe.
01:09:58:24|01:09:58:92|కర్ణ|దేవుడి షాప్?|[కర్ణ] Devudi shop?
01:10:00:20|01:10:01:28|శాంతి|దేవస్థానం.|[శాంతి] Devasthanam.
01:10:01:92|01:10:04:12|కర్ణ|ఓహ్, బాగా చెప్పారు.|[కర్ణ] Oh, baaga chepparu.
01:10:04:92|01:10:08:64|శాంతి|డాక్టర్ ని అడుగుతాం కదా, అందుకే డాక్టర్ షాప్ అన్నాను.|[శాంతి] Doctor ni adugutham kada, anduke doctor shop annanu.
01:10:08:92|01:10:10:00|శాంతి|ఇది కూడా అంతే.|[శాంతి] Idhi kuda anthe.
01:10:10:72|01:10:12:04|కర్ణ|మీతో మాట్లాడి గెలవలేను లెండి.|[కర్ణ] Meetho matladi gelavalenu lendi.
01:10:13:20|01:10:16:04|కర్ణ|అదంతా సరే, మీకేం గిఫ్ట్ కావాలో చెప్పండి?|[కర్ణ] Adantha sare, meekem gift kavalo cheppandi?
01:10:16:24|01:10:17:04|శాంతి|ఏయ్.|[శాంతి] Ey.
01:10:17:40|01:10:22:28|కర్ణ|మీ పాలకోవకి అంతే, కావాల్సినన్ని గిఫ్ట్లు ఇస్తాను, మీకూ అంతే, చెప్పండి ఏం కావాలి?|[కర్ణ] Mee paalakova ki anthe, kaavalasinanni giftlu isthanu, meeku anthe, cheppandi em kaavali?
01:10:24:84|01:10:30:16|శాంతి|నాకు చాలా ఉపకారం చేశావు కదా, దాని కన్నా పెద్ద గిఫ్ట్ ఇంకేముంటుంది బాబు?|[శాంతి] Naaku chala upakaram chesavu kada, daani kanna pedda gift inkemuntundi babu?
01:10:32:88|01:10:40:48|కర్ణ|ఊహ్, అంతేనా? ఇదే మీ కోరిక అంటే, దాన్ని నెరవేర్చే బాధ్యత నాది.|[కర్ణ] Uhh, anena? Idhe mee korika ante, daanni neraverche badhyatha naadhi.
01:11:23:44|01:11:25:64|కర్ణ|నిత్యా పెళ్లి ఘనంగా జరుగుతుంది.|[కర్ణ] Nithya pelli ghananga jaruguthundi.
01:11:28:44|01:11:32:00|కర్ణ|ఏదేమైనా సరే మీరు అనుకున్నట్టే అవుతుంది సరేనా?|[కర్ణ] Edemainasare meeru anukunnate avuthundi sarena?
01:11:33:44|01:11:41:40|శాంతి|నా బంగారు కొంటే, నా జీవితానికి వెలుగు, నువ్వు దానికి ఏం తీసిపోలేదు బాబు.|[శాంతి] Naa bangaru konte, naa jeevithaniki velugu, nuvvu daaniki em theesipoledu babu.
01:11:51:24|01:11:52:16|నిత్య|కర్ణ ఒక నిమిషం.|[నిత్య] Karna oka nimisham.
01:11:56:52|01:11:57:44|కర్ణ|ఏమైంది?|[కర్ణ] Emaindi?
01:11:58:24|01:12:01:24|నిత్య|మీరు శాంతితో మాట్లాడింది నేను విన్నాను.|[నిత్య] Meeru Shanthitho maatladindi nenu vinnanu.
01:12:03:68|01:12:06:56|కర్ణ|సారీ అది ఆవిడ అడిగారు.|[కర్ణ] Sorry adhi aavida adigaru.
01:12:06:88|01:12:07:92|నిత్య|థాంక్యూ.|[నిత్య] Thank you.
01:12:07:92|01:12:08:24|కర్ణ|ఆహ్?|[కర్ణ] Ah?
01:12:09:28|01:12:10:28|నిత్య|థాంక్యూ అన్నాను.|[నిత్య] Thank you annanu.
01:12:11:20|01:12:12:08|కర్ణ|నాకా?|[కర్ణ] Naaka?
01:12:12:72|01:12:14:04|నిత్య|మరి ఎవరున్నారు ఇక్కడ?|[నిత్య] Mari evarunnaru ikkada?
01:12:15:60|01:12:18:96|నిత్య|నేను అరవడం మాత్రం నీకు గుర్తుంటుందా? నాకు థాంక్యూ చెప్పడం వచ్చు.|[నిత్య] Nenu aravadam maathram neeku gurthuntunda? Naaku thank you cheppadam vachu.
01:12:19:40|01:12:23:28|కర్ణ|కాదు అది, ఆ చెవులకి కొత్తగా అనిపిస్తే అడిగాను.|[కర్ణ] Kaadu adhi, aa chevulaki kotthaga anipisthe adiganu.
01:12:25:28|01:12:25:96|నిత్య|కర్ణ,|[నిత్య] Karna,
01:12:27:00|01:12:27:68|కర్ణ|సారీ.|[కర్ణ] Sorry.
01:12:28:44|01:12:31:00|నిత్య|దేవుడిలా వచ్చి నన్ను కాపాడావు.|[నిత్య] Devudila vachi nannu kaapadavu.
01:12:32:36|01:12:34:28|నిత్య|ఇప్పుడు శాంతి మీద ఉన్న బరువును తగ్గిస్తున్నావు.|[నిత్య] Ippudu shanthi meedha unna baruvunu thaggisthunnavu.
01:12:36:04|01:12:37:68|కర్ణ|అంత పెద్ద మాటలు ఎందుకు లెండి.|[కర్ణ] Antha pedda matalu enduku lendi.
01:12:38:64|01:12:42:04|నిత్య|శాంతికి నా పెళ్లి చాలా పెద్ద విషయం కర్ణ.|[నిత్య] Shanthiki naa pelli chaala pedda vishayam Karna.
01:12:43:88|01:12:46:84|నిత్య|చాలా సంవత్సరాల నుండి కాపాడుకుంటూ వస్తున్న కల.|[నిత్య] Chaala samvathsarala nundi kaapadukuntu vasthunna kala.
01:12:49:12|01:12:51:84|నిత్య|నీ మాట తనకి ఎంత ధైర్యం ఇచ్చిందో నాకు తెలుసు.|[నిత్య] Nee maata thanaki entha dhairyam ichindo naaku thelusu.
01:12:53:52|01:12:54:68|నిత్య|చాలా థాంక్స్.|[నిత్య] Chaala thanks.
